Hospital Name,Locality,Charges,Surgery/Treatment Name,Doctor's Name,Hospital Ratings,Doctor’s Review
Manipal Hospitals,Kakinada,"₹5,00,000",Brain Surgery,Dr. Ramesh Kumar,4.3,Expert in cardiology
Aayush Hospitals,Vijayawada,"₹1,50,000",Chemotherapy,Dr. Sneha Rao,4.5,Renowned dermatologist
KIMS Hospitals,Hyderabad,"₹2,00,000",Ear Surgery,Dr. Manish Rao,4.5,ENT Specialist
Aayush Hospitals,Kakinada,"₹5,00,000",Angioplasty,Dr. Arjun Dev,4.8,Top gynecologist
Care Hospitals,Kakinada,"₹50,000",C-Section Delivery,Dr. Sandeep Varma,4.6,Top gynecologist
Sunshine Hospitals,Tirupati,"₹2,00,000",Ear Surgery,Dr. Ramesh Kumar,3.8,Pediatric specialist
Apollo Hospitals,Guntur,"₹2,00,000",Child Vaccination,Dr. Ramesh Kumar,4.8,Top gynecologist
Aayush Hospitals,Guntur,"₹5,00,000",Heart Bypass Surgery,Dr. Kavitha Reddy,4.4,Experienced general surgeon
Kamineni Hospitals,Tirupati,"₹1,50,000",Child Vaccination,Dr. Kavitha Reddy,4.2,Pediatric specialist
Aayush Hospitals,Hyderabad,"₹50,000",Chemotherapy,Dr. Sandeep Varma,4.2,Pediatric specialist
Care Hospitals,Rajahmundry,"₹50,000",Heart Bypass Surgery,Dr. Kavitha Reddy,4.7,Top gynecologist
Sunshine Hospitals,Vijayawada,"₹80,000",Ear Surgery,Dr. Kavitha Reddy,4,Top gynecologist
Manipal Hospitals,Guntur,"₹1,50,000",C-Section Delivery,Dr. Sneha Rao,5,Expert in cardiology
KIMS Hospitals,Nellore,"₹3,00,000",Skin Treatment,Dr. Neha Sharma,4.2,Renowned dermatologist
Sunshine Hospitals,Kakinada,"₹2,00,000",Brain Surgery,Dr. Neha Sharma,4.5,Best orthopedic surgeon
Kamineni Hospitals,Kakinada,"₹3,00,000",Angioplasty,Dr. Arjun Dev,3.6,ENT Specialist
Manipal Hospitals,Vijayawada,"₹80,000",Angioplasty,Dr. Neha Sharma,4.8,Best orthopedic surgeon
KIMS Hospitals,Kakinada,"₹5,00,000",Heart Bypass Surgery,Dr. Manish Rao,4.1,Pediatric specialist
Rainbow Hospitals,Rajahmundry,"₹5,00,000",Ear Surgery,Dr. Sneha Rao,4.1,Renowned dermatologist
Care Hospitals,Guntur,"₹50,000",Brain Surgery,Dr. Sneha Rao,4.6,Best neurologist
Apollo Hospitals,Kakinada,"₹5,00,000",Chemotherapy,Dr. Sneha Rao,4.3,ENT Specialist
Rainbow Hospitals,Guntur,"₹3,00,000",Angioplasty,Dr. Kavitha Reddy,5,Oncology expert
Omni Hospitals,Tirupati,"₹1,00,000",Heart Bypass Surgery,Dr. Sneha Rao,4.9,Best neurologist
Aayush Hospitals,Hyderabad,"₹1,00,000",Ear Surgery,Dr. Manish Rao,3.6,Pediatric specialist
Manipal Hospitals,Tirupati,"₹80,000",C-Section Delivery,Dr. Ramesh Kumar,3.5,ENT Specialist
Omni Hospitals,Guntur,"₹50,000",Heart Bypass Surgery,Dr. Manish Rao,4,Oncology expert
Rainbow Hospitals,Guntur,"₹3,00,000",Knee Replacement,Dr. Ramesh Kumar,3.5,Experienced general surgeon
Apollo Hospitals,Tirupati,"₹50,000",Chemotherapy,Dr. Sandeep Varma,4.2,Renowned dermatologist
Omni Hospitals,Nellore,"₹1,00,000",Knee Replacement,Dr. Priya Menon,4,Cardiac specialist
Andhra Hospitals,Guntur,"₹1,50,000",C-Section Delivery,Dr. Arjun Dev,4.6,Best neurologist
Andhra Hospitals,Vijayawada,"₹50,000",Skin Treatment,Dr. Ramesh Kumar,4.6,Expert in cardiology
Rainbow Hospitals,Hyderabad,"₹2,00,000",Chemotherapy,Dr. Meera Joshi,5,ENT Specialist
KIMS Hospitals,Guntur,"₹1,00,000",Appendix Surgery,Dr. Manish Rao,4.6,Best orthopedic surgeon
Care Hospitals,Rajahmundry,"₹50,000",Ear Surgery,Dr. Neha Sharma,3.8,Top gynecologist
Care Hospitals,Visakhapatnam,"₹1,50,000",Knee Replacement,Dr. Arjun Dev,4.6,Pediatric specialist
Omni Hospitals,Vijayawada,"₹1,50,000",Skin Treatment,Dr. Sandeep Varma,3.7,Cardiac specialist
KIMS Hospitals,Nellore,"₹5,00,000",Child Vaccination,Dr. Ramesh Kumar,4.2,Pediatric specialist
Rainbow Hospitals,Kakinada,"₹5,00,000",Brain Surgery,Dr. Meera Joshi,3.9,Expert in cardiology
Manipal Hospitals,Hyderabad,"₹2,00,000",Ear Surgery,Dr. Anand Sharma,3.6,Experienced general surgeon
Andhra Hospitals,Rajahmundry,"₹1,50,000",Angioplasty,Dr. Anand Sharma,3.6,Cardiac specialist
Sunshine Hospitals,Vijayawada,"₹50,000",Skin Treatment,Dr. Sandeep Varma,4.5,Top gynecologist
Manipal Hospitals,Hyderabad,"₹1,00,000",Brain Surgery,Dr. Ramesh Kumar,4.1,ENT Specialist
Apollo Hospitals,Kakinada,"₹1,50,000",Brain Surgery,Dr. Anand Sharma,4.7,Top gynecologist
Andhra Hospitals,Nellore,"₹50,000",Heart Bypass Surgery,Dr. Kavitha Reddy,4.9,Top gynecologist
Aayush Hospitals,Visakhapatnam,"₹1,50,000",Angioplasty,Dr. Meera Joshi,4.3,Experienced general surgeon
Apollo Hospitals,Nellore,"₹3,00,000",Skin Treatment,Dr. Neha Sharma,3.7,Top gynecologist
Care Hospitals,Hyderabad,"₹2,00,000",Heart Bypass Surgery,Dr. Meera Joshi,4.9,Best orthopedic surgeon
Manipal Hospitals,Vijayawada,"₹1,00,000",Child Vaccination,Dr. Ramesh Kumar,4.5,Cardiac specialist
Aayush Hospitals,Visakhapatnam,"₹50,000",Chemotherapy,Dr. Neha Sharma,3.6,Experienced general surgeon
Rainbow Hospitals,Nellore,"₹2,00,000",Appendix Surgery,Dr. Ramesh Kumar,3.9,Best orthopedic surgeon
Manipal Hospitals,Nellore,"₹80,000",Brain Surgery,Dr. Manish Rao,4.9,Renowned dermatologist
Manipal Hospitals,Tirupati,"₹2,00,000",Appendix Surgery,Dr. Manish Rao,4.1,Expert in cardiology
Care Hospitals,Tirupati,"₹1,00,000",Child Vaccination,Dr. Neha Sharma,4.2,ENT Specialist
Sunshine Hospitals,Kakinada,"₹5,00,000",Knee Replacement,Dr. Priya Menon,3.7,Renowned dermatologist
Omni Hospitals,Tirupati,"₹50,000",Appendix Surgery,Dr. Priya Menon,4.7,Oncology expert
Aayush Hospitals,Vijayawada,"₹2,00,000",Knee Replacement,Dr. Ramesh Kumar,3.7,Experienced general surgeon
KIMS Hospitals,Rajahmundry,"₹1,50,000",Ear Surgery,Dr. Manish Rao,4.6,Top gynecologist
Sunshine Hospitals,Rajahmundry,"₹1,00,000",Chemotherapy,Dr. Ramesh Kumar,5,ENT Specialist
Care Hospitals,Vijayawada,"₹2,00,000",Chemotherapy,Dr. Manish Rao,3.6,Cardiac specialist
Care Hospitals,Rajahmundry,"₹1,00,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4.1,Best orthopedic surgeon
Andhra Hospitals,Rajahmundry,"₹2,00,000",Brain Surgery,Dr. Anand Sharma,4.1,Best orthopedic surgeon
Apollo Hospitals,Rajahmundry,"₹1,00,000",Child Vaccination,Dr. Meera Joshi,4.9,Best neurologist
Omni Hospitals,Vijayawada,"₹2,00,000",C-Section Delivery,Dr. Sandeep Varma,4.9,Top gynecologist
Sunshine Hospitals,Rajahmundry,"₹1,00,000",Heart Bypass Surgery,Dr. Neha Sharma,3.7,Best neurologist
KIMS Hospitals,Tirupati,"₹80,000",Brain Surgery,Dr. Arjun Dev,4.3,Pediatric specialist
Andhra Hospitals,Hyderabad,"₹80,000",Angioplasty,Dr. Ramesh Kumar,4.6,Oncology expert
Aayush Hospitals,Vijayawada,"₹50,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.1,Pediatric specialist
Manipal Hospitals,Tirupati,"₹80,000",Child Vaccination,Dr. Meera Joshi,4.6,Experienced general surgeon
Apollo Hospitals,Vijayawada,"₹80,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4.3,ENT Specialist
Omni Hospitals,Kakinada,"₹3,00,000",C-Section Delivery,Dr. Meera Joshi,3.9,Expert in cardiology
Andhra Hospitals,Rajahmundry,"₹3,00,000",Angioplasty,Dr. Anand Sharma,4.8,Best orthopedic surgeon
Care Hospitals,Nellore,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.1,Experienced general surgeon
Manipal Hospitals,Visakhapatnam,"₹5,00,000",Heart Bypass Surgery,Dr. Priya Menon,3.9,Expert in cardiology
Aayush Hospitals,Visakhapatnam,"₹3,00,000",Chemotherapy,Dr. Neha Sharma,3.8,Expert in cardiology
Andhra Hospitals,Rajahmundry,"₹2,00,000",Knee Replacement,Dr. Kavitha Reddy,4.1,Expert in cardiology
Andhra Hospitals,Nellore,"₹1,00,000",Chemotherapy,Dr. Anand Sharma,5,Oncology expert
Manipal Hospitals,Visakhapatnam,"₹1,50,000",Brain Surgery,Dr. Anand Sharma,4.3,Cardiac specialist
Omni Hospitals,Tirupati,"₹1,50,000",C-Section Delivery,Dr. Neha Sharma,4.6,Renowned dermatologist
Rainbow Hospitals,Guntur,"₹5,00,000",Brain Surgery,Dr. Anand Sharma,4.2,Oncology expert
Manipal Hospitals,Visakhapatnam,"₹2,00,000",Angioplasty,Dr. Sneha Rao,4.9,Best orthopedic surgeon
Omni Hospitals,Kakinada,"₹1,00,000",C-Section Delivery,Dr. Priya Menon,4.5,Best orthopedic surgeon
Sunshine Hospitals,Nellore,"₹3,00,000",Brain Surgery,Dr. Anand Sharma,3.7,Top gynecologist
Apollo Hospitals,Kakinada,"₹80,000",Appendix Surgery,Dr. Arjun Dev,4.9,Pediatric specialist
Apollo Hospitals,Vijayawada,"₹80,000",Angioplasty,Dr. Anand Sharma,4.2,Oncology expert
Kamineni Hospitals,Rajahmundry,"₹2,00,000",Brain Surgery,Dr. Meera Joshi,3.9,Expert in cardiology
Apollo Hospitals,Nellore,"₹2,00,000",Angioplasty,Dr. Sandeep Varma,3.9,Oncology expert
Sunshine Hospitals,Hyderabad,"₹1,00,000",Child Vaccination,Dr. Priya Menon,4.6,ENT Specialist
Rainbow Hospitals,Nellore,"₹2,00,000",Child Vaccination,Dr. Anand Sharma,4.6,Experienced general surgeon
Aayush Hospitals,Rajahmundry,"₹50,000",Chemotherapy,Dr. Sandeep Varma,4.7,Experienced general surgeon
Omni Hospitals,Kakinada,"₹2,00,000",Angioplasty,Dr. Meera Joshi,4.2,Renowned dermatologist
Care Hospitals,Tirupati,"₹5,00,000",C-Section Delivery,Dr. Meera Joshi,3.7,Cardiac specialist
Omni Hospitals,Kakinada,"₹50,000",Angioplasty,Dr. Kavitha Reddy,3.9,Best orthopedic surgeon
Aayush Hospitals,Kakinada,"₹1,50,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4.9,ENT Specialist
Rainbow Hospitals,Vijayawada,"₹1,00,000",Child Vaccination,Dr. Sandeep Varma,3.5,Expert in cardiology
Care Hospitals,Guntur,"₹1,50,000",C-Section Delivery,Dr. Sandeep Varma,4.2,Renowned dermatologist
Aayush Hospitals,Tirupati,"₹1,00,000",Heart Bypass Surgery,Dr. Sandeep Varma,3.9,Best neurologist
Andhra Hospitals,Nellore,"₹80,000",Angioplasty,Dr. Manish Rao,4.4,ENT Specialist
Kamineni Hospitals,Kakinada,"₹3,00,000",Ear Surgery,Dr. Ramesh Kumar,4.5,Best neurologist
Sunshine Hospitals,Nellore,"₹1,00,000",Child Vaccination,Dr. Arjun Dev,3.6,Best orthopedic surgeon
Sunshine Hospitals,Hyderabad,"₹80,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4.2,Experienced general surgeon
Sunshine Hospitals,Guntur,"₹1,50,000",C-Section Delivery,Dr. Ramesh Kumar,3.7,Best orthopedic surgeon
Care Hospitals,Nellore,"₹5,00,000",C-Section Delivery,Dr. Sneha Rao,4,Best neurologist
KIMS Hospitals,Tirupati,"₹1,50,000",Appendix Surgery,Dr. Anand Sharma,3.6,Renowned dermatologist
Apollo Hospitals,Tirupati,"₹80,000",Chemotherapy,Dr. Meera Joshi,4.6,ENT Specialist
Aayush Hospitals,Vijayawada,"₹5,00,000",Angioplasty,Dr. Neha Sharma,4.7,ENT Specialist
Omni Hospitals,Nellore,"₹2,00,000",Brain Surgery,Dr. Manish Rao,4.9,Oncology expert
KIMS Hospitals,Guntur,"₹1,50,000",Brain Surgery,Dr. Arjun Dev,3.7,Top gynecologist
Manipal Hospitals,Nellore,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.7,Cardiac specialist
Care Hospitals,Guntur,"₹1,00,000",Ear Surgery,Dr. Manish Rao,4.8,Oncology expert
Rainbow Hospitals,Hyderabad,"₹80,000",C-Section Delivery,Dr. Neha Sharma,4.8,Top gynecologist
Andhra Hospitals,Vijayawada,"₹80,000",Chemotherapy,Dr. Anand Sharma,3.7,Experienced general surgeon
Care Hospitals,Guntur,"₹1,50,000",Chemotherapy,Dr. Kavitha Reddy,3.6,Renowned dermatologist
Care Hospitals,Vijayawada,"₹50,000",C-Section Delivery,Dr. Priya Menon,4.9,Oncology expert
Sunshine Hospitals,Visakhapatnam,"₹1,50,000",C-Section Delivery,Dr. Manish Rao,3.8,Pediatric specialist
Omni Hospitals,Tirupati,"₹1,00,000",C-Section Delivery,Dr. Neha Sharma,3.7,Top gynecologist
Apollo Hospitals,Visakhapatnam,"₹2,00,000",Appendix Surgery,Dr. Anand Sharma,3.9,ENT Specialist
Rainbow Hospitals,Hyderabad,"₹1,50,000",Skin Treatment,Dr. Ramesh Kumar,4.7,Experienced general surgeon
Aayush Hospitals,Guntur,"₹3,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.8,Oncology expert
Manipal Hospitals,Nellore,"₹50,000",Angioplasty,Dr. Kavitha Reddy,4.4,Best orthopedic surgeon
Andhra Hospitals,Hyderabad,"₹1,00,000",Skin Treatment,Dr. Anand Sharma,4.8,Experienced general surgeon
Care Hospitals,Kakinada,"₹2,00,000",Child Vaccination,Dr. Sneha Rao,4.3,Oncology expert
KIMS Hospitals,Hyderabad,"₹50,000",Angioplasty,Dr. Arjun Dev,5,Pediatric specialist
Aayush Hospitals,Hyderabad,"₹3,00,000",Angioplasty,Dr. Ramesh Kumar,3.9,Expert in cardiology
Kamineni Hospitals,Tirupati,"₹1,00,000",C-Section Delivery,Dr. Sandeep Varma,5,Best neurologist
Care Hospitals,Visakhapatnam,"₹2,00,000",Child Vaccination,Dr. Anand Sharma,3.9,Best neurologist
Sunshine Hospitals,Vijayawada,"₹5,00,000",Appendix Surgery,Dr. Ramesh Kumar,4.9,Oncology expert
Kamineni Hospitals,Kakinada,"₹5,00,000",Angioplasty,Dr. Sneha Rao,3.6,Best neurologist
KIMS Hospitals,Tirupati,"₹80,000",Appendix Surgery,Dr. Arjun Dev,4.3,Experienced general surgeon
Aayush Hospitals,Visakhapatnam,"₹2,00,000",Skin Treatment,Dr. Sneha Rao,3.8,Best orthopedic surgeon
Andhra Hospitals,Tirupati,"₹5,00,000",C-Section Delivery,Dr. Manish Rao,3.7,Best orthopedic surgeon
Omni Hospitals,Tirupati,"₹80,000",Ear Surgery,Dr. Sneha Rao,4.1,Experienced general surgeon
Andhra Hospitals,Nellore,"₹50,000",Heart Bypass Surgery,Dr. Anand Sharma,4.8,Top gynecologist
Omni Hospitals,Rajahmundry,"₹1,00,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4,Renowned dermatologist
KIMS Hospitals,Visakhapatnam,"₹2,00,000",Heart Bypass Surgery,Dr. Sneha Rao,3.6,Experienced general surgeon
Manipal Hospitals,Rajahmundry,"₹3,00,000",Brain Surgery,Dr. Arjun Dev,4.9,Best neurologist
Sunshine Hospitals,Nellore,"₹2,00,000",Knee Replacement,Dr. Priya Menon,5,Best neurologist
Rainbow Hospitals,Visakhapatnam,"₹80,000",Heart Bypass Surgery,Dr. Kavitha Reddy,4,Cardiac specialist
Care Hospitals,Tirupati,"₹1,50,000",Brain Surgery,Dr. Priya Menon,3.5,Pediatric specialist
Kamineni Hospitals,Vijayawada,"₹1,00,000",Appendix Surgery,Dr. Neha Sharma,4.2,Best neurologist
Apollo Hospitals,Hyderabad,"₹3,00,000",Chemotherapy,Dr. Priya Menon,4.1,ENT Specialist
Sunshine Hospitals,Vijayawada,"₹1,50,000",Child Vaccination,Dr. Neha Sharma,4.6,Pediatric specialist
Manipal Hospitals,Kakinada,"₹2,00,000",Ear Surgery,Dr. Priya Menon,3.6,Best orthopedic surgeon
Rainbow Hospitals,Visakhapatnam,"₹50,000",Chemotherapy,Dr. Priya Menon,4.2,Oncology expert
Care Hospitals,Tirupati,"₹2,00,000",Child Vaccination,Dr. Anand Sharma,5,Pediatric specialist
Aayush Hospitals,Kakinada,"₹50,000",C-Section Delivery,Dr. Manish Rao,4.9,Best neurologist
Apollo Hospitals,Nellore,"₹5,00,000",Knee Replacement,Dr. Arjun Dev,3.8,Top gynecologist
Aayush Hospitals,Guntur,"₹5,00,000",Child Vaccination,Dr. Anand Sharma,4,Top gynecologist
Omni Hospitals,Guntur,"₹2,00,000",Angioplasty,Dr. Kavitha Reddy,3.9,Cardiac specialist
Aayush Hospitals,Visakhapatnam,"₹2,00,000",Chemotherapy,Dr. Ramesh Kumar,4.9,ENT Specialist
Omni Hospitals,Visakhapatnam,"₹3,00,000",C-Section Delivery,Dr. Sneha Rao,3.7,Experienced general surgeon
Andhra Hospitals,Rajahmundry,"₹80,000",Skin Treatment,Dr. Priya Menon,4.5,Top gynecologist
Care Hospitals,Nellore,"₹5,00,000",Angioplasty,Dr. Arjun Dev,4.6,Pediatric specialist
Care Hospitals,Rajahmundry,"₹1,50,000",Knee Replacement,Dr. Sandeep Varma,4.6,Best neurologist
Rainbow Hospitals,Hyderabad,"₹5,00,000",C-Section Delivery,Dr. Meera Joshi,4.4,Expert in cardiology
Kamineni Hospitals,Visakhapatnam,"₹2,00,000",Knee Replacement,Dr. Arjun Dev,3.8,Renowned dermatologist
KIMS Hospitals,Nellore,"₹5,00,000",Ear Surgery,Dr. Anand Sharma,4,Renowned dermatologist
Apollo Hospitals,Tirupati,"₹1,00,000",Angioplasty,Dr. Arjun Dev,4,Pediatric specialist
Omni Hospitals,Kakinada,"₹50,000",Skin Treatment,Dr. Manish Rao,3.9,Oncology expert
Manipal Hospitals,Hyderabad,"₹50,000",Knee Replacement,Dr. Priya Menon,3.7,Best neurologist
Omni Hospitals,Vijayawada,"₹80,000",Heart Bypass Surgery,Dr. Arjun Dev,4.1,Best orthopedic surgeon
Omni Hospitals,Hyderabad,"₹80,000",Heart Bypass Surgery,Dr. Manish Rao,4.4,Experienced general surgeon
Apollo Hospitals,Nellore,"₹80,000",Knee Replacement,Dr. Sneha Rao,4.2,ENT Specialist
Rainbow Hospitals,Tirupati,"₹5,00,000",C-Section Delivery,Dr. Arjun Dev,4.6,Pediatric specialist
Kamineni Hospitals,Vijayawada,"₹3,00,000",Chemotherapy,Dr. Ramesh Kumar,3.7,Best neurologist
Manipal Hospitals,Tirupati,"₹1,50,000",Knee Replacement,Dr. Priya Menon,4.6,Pediatric specialist
Apollo Hospitals,Kakinada,"₹50,000",Heart Bypass Surgery,Dr. Neha Sharma,4.3,Best orthopedic surgeon
Omni Hospitals,Hyderabad,"₹3,00,000",Appendix Surgery,Dr. Meera Joshi,3.8,Expert in cardiology
Andhra Hospitals,Rajahmundry,"₹50,000",Skin Treatment,Dr. Meera Joshi,4.6,Best orthopedic surgeon
Care Hospitals,Nellore,"₹2,00,000",Knee Replacement,Dr. Manish Rao,4.5,Best orthopedic surgeon
Omni Hospitals,Hyderabad,"₹1,50,000",Appendix Surgery,Dr. Arjun Dev,4.9,Pediatric specialist
KIMS Hospitals,Nellore,"₹3,00,000",Chemotherapy,Dr. Meera Joshi,3.9,Experienced general surgeon
Omni Hospitals,Guntur,"₹80,000",Angioplasty,Dr. Sandeep Varma,3.7,Best neurologist
Omni Hospitals,Tirupati,"₹80,000",Child Vaccination,Dr. Ramesh Kumar,4,Top gynecologist
Apollo Hospitals,Guntur,"₹1,00,000",Child Vaccination,Dr. Priya Menon,4.2,Expert in cardiology
Kamineni Hospitals,Nellore,"₹1,50,000",Brain Surgery,Dr. Sneha Rao,5,Cardiac specialist
Care Hospitals,Nellore,"₹50,000",Brain Surgery,Dr. Anand Sharma,4.7,Renowned dermatologist
Rainbow Hospitals,Visakhapatnam,"₹1,00,000",Appendix Surgery,Dr. Anand Sharma,3.8,Top gynecologist
Rainbow Hospitals,Vijayawada,"₹1,50,000",Ear Surgery,Dr. Anand Sharma,3.7,Expert in cardiology
KIMS Hospitals,Visakhapatnam,"₹80,000",Child Vaccination,Dr. Anand Sharma,4.1,Renowned dermatologist
Sunshine Hospitals,Hyderabad,"₹1,00,000",Knee Replacement,Dr. Ramesh Kumar,4.7,Oncology expert
Manipal Hospitals,Nellore,"₹5,00,000",Angioplasty,Dr. Meera Joshi,4.7,Renowned dermatologist
Aayush Hospitals,Hyderabad,"₹5,00,000",Child Vaccination,Dr. Neha Sharma,4.5,Pediatric specialist
Kamineni Hospitals,Tirupati,"₹50,000",Child Vaccination,Dr. Anand Sharma,4.6,Pediatric specialist
Kamineni Hospitals,Rajahmundry,"₹80,000",C-Section Delivery,Dr. Neha Sharma,4.5,Experienced general surgeon
Rainbow Hospitals,Nellore,"₹1,00,000",Angioplasty,Dr. Neha Sharma,4.9,Top gynecologist
Apollo Hospitals,Visakhapatnam,"₹50,000",Brain Surgery,Dr. Anand Sharma,4.9,Renowned dermatologist
Apollo Hospitals,Vijayawada,"₹80,000",Appendix Surgery,Dr. Priya Menon,4.4,Cardiac specialist
Care Hospitals,Visakhapatnam,"₹2,00,000",Ear Surgery,Dr. Arjun Dev,4.9,Cardiac specialist
Care Hospitals,Rajahmundry,"₹1,50,000",Child Vaccination,Dr. Priya Menon,4.6,Expert in cardiology
Apollo Hospitals,Visakhapatnam,"₹1,50,000",Heart Bypass Surgery,Dr. Sneha Rao,4.3,Experienced general surgeon
Rainbow Hospitals,Hyderabad,"₹3,00,000",Angioplasty,Dr. Arjun Dev,3.6,Top gynecologist
KIMS Hospitals,Tirupati,"₹50,000",Chemotherapy,Dr. Kavitha Reddy,4.4,Cardiac specialist
Omni Hospitals,Kakinada,"₹80,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.2,Top gynecologist
Apollo Hospitals,Visakhapatnam,"₹80,000",Child Vaccination,Dr. Kavitha Reddy,3.8,Oncology expert
Manipal Hospitals,Kakinada,"₹80,000",C-Section Delivery,Dr. Neha Sharma,3.8,Expert in cardiology
Sunshine Hospitals,Hyderabad,"₹3,00,000",Knee Replacement,Dr. Kavitha Reddy,4.6,Experienced general surgeon
Kamineni Hospitals,Rajahmundry,"₹1,00,000",C-Section Delivery,Dr. Neha Sharma,4.2,Oncology expert
Aayush Hospitals,Rajahmundry,"₹50,000",Appendix Surgery,Dr. Anand Sharma,4.6,Cardiac specialist
Rainbow Hospitals,Tirupati,"₹1,50,000",Knee Replacement,Dr. Priya Menon,4.6,Oncology expert
Care Hospitals,Kakinada,"₹50,000",Child Vaccination,Dr. Sandeep Varma,3.8,Best neurologist
Rainbow Hospitals,Nellore,"₹2,00,000",Heart Bypass Surgery,Dr. Ramesh Kumar,4.4,Experienced general surgeon
Rainbow Hospitals,Visakhapatnam,"₹3,00,000",Ear Surgery,Dr. Arjun Dev,4.1,Cardiac specialist
KIMS Hospitals,Vijayawada,"₹80,000",Ear Surgery,Dr. Manish Rao,4.7,Pediatric specialist
KIMS Hospitals,Hyderabad,"₹50,000",Chemotherapy,Dr. Meera Joshi,3.9,ENT Specialist
Aayush Hospitals,Rajahmundry,"₹2,00,000",Appendix Surgery,Dr. Anand Sharma,4.7,Top gynecologist
Kamineni Hospitals,Guntur,"₹5,00,000",Heart Bypass Surgery,Dr. Sneha Rao,3.7,ENT Specialist
Andhra Hospitals,Kakinada,"₹80,000",Skin Treatment,Dr. Priya Menon,4.9,Oncology expert
Care Hospitals,Rajahmundry,"₹80,000",Heart Bypass Surgery,Dr. Arjun Dev,5,Best orthopedic surgeon
Kamineni Hospitals,Nellore,"₹50,000",Heart Bypass Surgery,Dr. Priya Menon,3.9,Expert in cardiology
Kamineni Hospitals,Kakinada,"₹2,00,000",Angioplasty,Dr. Priya Menon,4.1,Best neurologist
Care Hospitals,Tirupati,"₹5,00,000",Skin Treatment,Dr. Manish Rao,4.9,Expert in cardiology
Rainbow Hospitals,Guntur,"₹1,00,000",Heart Bypass Surgery,Dr. Anand Sharma,4.2,Oncology expert
Rainbow Hospitals,Tirupati,"₹3,00,000",Child Vaccination,Dr. Anand Sharma,4.5,Experienced general surgeon
Sunshine Hospitals,Tirupati,"₹1,50,000",Angioplasty,Dr. Sneha Rao,4.6,Expert in cardiology
Andhra Hospitals,Rajahmundry,"₹2,00,000",Angioplasty,Dr. Arjun Dev,5,Experienced general surgeon
Apollo Hospitals,Hyderabad,"₹5,00,000",Brain Surgery,Dr. Anand Sharma,4.7,ENT Specialist
Aayush Hospitals,Guntur,"₹80,000",Brain Surgery,Dr. Neha Sharma,3.8,Expert in cardiology
Care Hospitals,Visakhapatnam,"₹80,000",Appendix Surgery,Dr. Anand Sharma,4.5,Expert in cardiology
Kamineni Hospitals,Visakhapatnam,"₹1,00,000",C-Section Delivery,Dr. Meera Joshi,3.6,Expert in cardiology
Apollo Hospitals,Guntur,"₹50,000",Angioplasty,Dr. Anand Sharma,4.7,Best orthopedic surgeon
Andhra Hospitals,Rajahmundry,"₹1,50,000",Chemotherapy,Dr. Priya Menon,4.5,Experienced general surgeon
Kamineni Hospitals,Kakinada,"₹3,00,000",C-Section Delivery,Dr. Anand Sharma,4.6,Pediatric specialist
Aayush Hospitals,Nellore,"₹80,000",Child Vaccination,Dr. Anand Sharma,4.4,Expert in cardiology
Care Hospitals,Visakhapatnam,"₹5,00,000",Child Vaccination,Dr. Ramesh Kumar,3.8,Cardiac specialist
Aayush Hospitals,Hyderabad,"₹50,000",Child Vaccination,Dr. Ramesh Kumar,3.9,Experienced general surgeon
Apollo Hospitals,Hyderabad,"₹3,00,000",Heart Bypass Surgery,Dr. Sandeep Varma,4.7,Pediatric specialist
Sunshine Hospitals,Tirupati,"₹2,00,000",Heart Bypass Surgery,Dr. Meera Joshi,5,Best orthopedic surgeon
Aayush Hospitals,Hyderabad,"₹1,00,000",Skin Treatment,Dr. Priya Menon,4.1,Best neurologist
Apollo Hospitals,Kakinada,"₹50,000",Angioplasty,Dr. Anand Sharma,4.1,Top gynecologist
Omni Hospitals,Rajahmundry,"₹2,00,000",Appendix Surgery,Dr. Meera Joshi,3.8,ENT Specialist
Andhra Hospitals,Vijayawada,"₹80,000",Angioplasty,Dr. Kavitha Reddy,4.5,Oncology expert
Kamineni Hospitals,Guntur,"₹1,00,000",Ear Surgery,Dr. Sandeep Varma,3.5,Best neurologist
Apollo Hospitals,Nellore,"₹5,00,000",Appendix Surgery,Dr. Kavitha Reddy,4.4,ENT Specialist
Aayush Hospitals,Nellore,"₹2,00,000",Chemotherapy,Dr. Neha Sharma,3.6,Oncology expert
Andhra Hospitals,Rajahmundry,"₹50,000",Knee Replacement,Dr. Arjun Dev,3.5,Best neurologist
KIMS Hospitals,Rajahmundry,"₹80,000",Skin Treatment,Dr. Sneha Rao,4.4,Cardiac specialist
Sunshine Hospitals,Tirupati,"₹5,00,000",Ear Surgery,Dr. Sneha Rao,4.2,Expert in cardiology
Apollo Hospitals,Rajahmundry,"₹3,00,000",Chemotherapy,Dr. Sneha Rao,4.2,Experienced general surgeon
